"Image_FileName_brightfield","Image_PathName_brightfield","Metadata_fld","Metadata_channel","Metadata_parent","Metadata_original","Metadata_zst"
"r01c05f05p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f05","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c05f05p07-ch1sk1fk1fl1","07"
"r01c06f01p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c06f01p07-ch1sk1fk1fl1","07"
"r01c06f02p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c06f02p07-ch1sk1fk1fl1","07"
"r01c06f03p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c06f03p07-ch1sk1fk1fl1","07"
"r01c06f04p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c06f04p07-ch1sk1fk1fl1","07"
"r01c06f05p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f05","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c06f05p07-ch1sk1fk1fl1","07"
"r01c07f01p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c07f01p07-ch1sk1fk1fl1","07"
"r01c07f02p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c07f02p07-ch1sk1fk1fl1","07"
"r01c07f03p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c07f03p07-ch1sk1fk1fl1","07"
"r01c07f04p07-ch1sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch1","000012045003__2018-09-28T20_42_19-Measurement_5","r01c07f04p07-ch1sk1fk1fl1","07"
